,name,composer,time_signature,styles
392,Mikrokosmos vol.3 part 23 (89),Bela Bartok,2/2,Modern
393,Mikrokosmos vol.3 part 24 (90),Bela Bartok,2/2,Nationalism
394,Mikrokosmos vol.3 part 25 (91),Bela Bartok,4/4,Modern
395,Mikrokosmos vol.3 part 26 (92),Bela Bartok,4/4,Modern
396,Mikrokosmos vol.3 part 27 (93),Bela Bartok,2/4,Modern
397,Mikrokosmos vol.3 part 28 (94),Bela Bartok,2/4,Nationalism
398,Mikrokosmos vol.3 part 29 (95) A,Bela Bartok,4/4,Nationalism
399,Mikrokosmos vol.3 part 3 (69),Bela Bartok,6/8,Modern
400,Mikrokosmos vol.3 part 30 (96),Bela Bartok,3/4,Modern
401,Mikrokosmos vol.3 part 4 (70),Bela Bartok,3/4,Modern
402,Mikrokosmos vol.3 part 5 (71),Bela Bartok,2/2,Modern
403,Mikrokosmos vol.3 part 6 (72),Bela Bartok,2/2,Modern
404,Mikrokosmos vol.3 part 7 (73),Bela Bartok,2/4,Modern
405,Mikrokosmos vol.3 part 8 (74) A,Bela Bartok,2/4,Nationalism
406,Mikrokosmos vol.3 part 9 (75),Bela Bartok,2/4,Modern
407,Mikrokosmos vol.4 part 1 (97),Bela Bartok,6/8,Modern
408,Mikrokosmos vol.4 part 10 (106),Bela Bartok,2/4,Modern
409,Mikrokosmos vol.4 part 11 (107),Bela Bartok,3/4,Modern
410,Mikrokosmos vol.4 part 12 (108),Bela Bartok,3/4,Nationalism
411,Mikrokosmos vol.4 part 13 (109),Bela Bartok,6/8,Modern
412,Mikrokosmos vol.4 part 14 (110),Bela Bartok,2/4,Modern
413,Mikrokosmos vol.4 part 15 (111),Bela Bartok,3/4,Modern
414,Mikrokosmos vol.4 part 16 (112),Bela Bartok,2/4,Nationalism
415,Mikrokosmos vol.4 part 17 (113),Bela Bartok,7/8,Nationalism
416,Mikrokosmos vol.4 part 18 (114),Bela Bartok,4/4,Modern
417,Mikrokosmos vol.4 part 19 (115),Bela Bartok,5/8,Nationalism
418,Mikrokosmos vol.4 part 2 (98),Bela Bartok,2/4,Nationalism
419,Mikrokosmos vol.4 part 20 (116),Bela Bartok,4/4,Nationalism
420,Mikrokosmos vol.4 part 21 (117),Bela Bartok,4/4,Neoclassicism
421,Mikrokosmos vol.4 part 22 (118),Bela Bartok,9/8,Nationalism
422,Mikrokosmos vol.4 part 23 (119),Bela Bartok,3/4,Modern
423,Mikrokosmos vol.4 part 24 (120),Bela Bartok,5/4,Modern
424,Mikrokosmos vol.4 part 25 (121),Bela Bartok,3/2,Modern
425,Mikrokosmos vol.4 part 3 (99),Bela Bartok,3/4,Modern
426,Mikrokosmos vol.4 part 4 (100),Bela Bartok,5/8,Nationalism
427,Mikrokosmos vol.4 part 5 (101),Bela Bartok,2/4,Modern
428,Mikrokosmos vol.4 part 6 (102),Bela Bartok,3/4,Modern
429,Mikrokosmos vol.4 part 7 (103),Bela Bartok,9/8,Modern
430,Mikrokosmos vol.4 part 8 (104) A,Bela Bartok,2/4,Modern
431,Mikrokosmos vol.4 part 8 (104) B,Bela Bartok,2/4,Modern
432,Mikrokosmos vol.4 part 9 (105),Bela Bartok,4/4,Modern
433,Mikrokosmos vol.5 part 1 (122),Bela Bartok,2/4,Modern
434,Mikrokosmos vol.5 part 10 (131),Bela Bartok,2/4,Modern
435,Mikrokosmos vol.5 part 11 (132),Bela Bartok,9/8,Modern
436,Mikrokosmos vol.5 part 12 (133),Bela Bartok,5/4,Modern
437,Mikrokosmos vol.5 part 13 (134) A,Bela Bartok,4/4,Modern
438,Mikrokosmos vol.5 part 13 (134) B,Bela Bartok,4/4,Modern
439,Mikrokosmos vol.5 part 13 (134) C,Bela Bartok,4/4,Modern
440,Mikrokosmos vol.5 part 13 (135),Bela Bartok,4/4,Neoclassicism
441,Mikrokosmos vol.5 part 14 (136),Bela Bartok,2/4,Modern
442,Mikrokosmos vol.5 part 15 (137),Bela Bartok,2/4,Modern
443,Mikrokosmos vol.5 part 17 (139),Bela Bartok,2/4,Nationalism
444,Mikrokosmos vol.5 part 2 (123) A,Bela Bartok,2/4,Modern
445,Mikrokosmos vol.5 part 2 (123) B,Bela Bartok,2/4,Modern
446,Mikrokosmos vol.5 part 3 (124),Bela Bartok,4/4,Modern
447,Mikrokosmos vol.5 part 4 (125),Bela Bartok,3/4,Modern
448,Mikrokosmos vol.5 part 5 (126),Bela Bartok,2/4,Modern
449,Mikrokosmos vol.5 part 7 (128),Bela Bartok,2/4,Nationalism
450,Mikrokosmos vol.5 part 8 (129),Bela Bartok,2/4,Modern
451,Mikrokosmos vol.5 part 9 (130),Bela Bartok,2/4,Nationalism
452,Mikrokosmos vol.6 part 1 (140),Bela Bartok,3/8,Modern
453,Mikrokosmos vol.6 part 10 (149),Bela Bartok,7/8,Nationalism
454,Mikrokosmos vol.6 part 11 (150),Bela Bartok,5/8,Nationalism
455,Mikrokosmos vol.6 part 12 (151),Bela Bartok,8/8,Nationalism
456,Mikrokosmos vol.6 part 13 (152),Bela Bartok,9/8,Nationalism
457,Mikrokosmos vol.6 part 14 (153),Bela Bartok,8/8,Nationalism
458,Mikrokosmos vol.6 part 2 (141),Bela Bartok,2/4,Modern
459,Mikrokosmos vol.6 part 3 (142),Bela Bartok,3/4,Nationalism
460,Mikrokosmos vol.6 part 4 (143),Bela Bartok,2/4,Modern
461,Mikrokosmos vol.6 part 5 (144),Bela Bartok,4/4,Modern
462,Mikrokosmos vol.6 part 6 (145) A,Bela Bartok,4/4,Neoclassicism
463,Mikrokosmos vol.6 part 6 (145) B,Bela Bartok,4/4,Neoclassicism
464,Mikrokosmos vol.6 part 7 (146),Bela Bartok,2/4,Modern
465,Mikrokosmos vol.6 part 8 (147),Bela Bartok,4/4,Nationalism
466,Mikrokosmos vol.6 part 9 (148),Bela Bartok,9/8,Nationalism
467,Out of Doors part 1,Bela Bartok,2/4,Nationalism
468,Out of Doors part 2,Bela Bartok,6/8,Nationalism
469,Out of Doors part 3,Bela Bartok,2/4,Nationalism
470,Out of Doors part 4,Bela Bartok,3/2,Modern
471,Out of Doors part 5,Bela Bartok,6/8,Modern
472,Petite Suite for Piano sz. 105 part 1,Bela Bartok,3/4,Nationalism
473,Petite Suite for Piano sz. 105 part 2,Bela Bartok,2/4,Nationalism
474,Petite Suite for Piano sz. 105 part 3,Bela Bartok,3/2,Nationalism
475,Petite Suite for Piano sz. 105 part 4,Bela Bartok,2/4,Nationalism
476,Petite Suite for Piano sz. 105 part 5,Bela Bartok,2/4,Nationalism
477,Piano Sonata sz. 80 part 1,Bela Bartok,2/4,Modern
478,Piano Sonata sz. 80 part 2,Bela Bartok,6/4,Modern
479,Piano Sonata sz. 80 part 3,Bela Bartok,3/8,Modern
480,Rhapsody for Piano sz. 26,Bela Bartok,3/4,Nationalism
481,Romanian Christmas Carols sz. 57 series 1 part 10,Bela Bartok,2/4,Nationalism
482,Romanian Christmas Carols sz. 57 series 1 part 1,Bela Bartok,2/4,Nationalism
483,Romanian Christmas Carols sz. 57 series 1 part 2,Bela Bartok,5/8,Nationalism
484,Romanian Christmas Carols sz. 57 series 1 part 3,Bela Bartok,4/8,Nationalism
485,Romanian Christmas Carols sz. 57 series 1 part 4,Bela Bartok,2/4,Nationalism
486,Romanian Christmas Carols sz. 57 series 1 part 5,Bela Bartok,2/4,Nationalism
487,Romanian Christmas Carols sz. 57 series 1 part 6,Bela Bartok,2/4,Nationalism
488,Romanian Christmas Carols sz. 57 series 1 part 7,Bela Bartok,8/8,Nationalism
489,Romanian Christmas Carols sz. 57 series 1 part 8,Bela Bartok,2/4,Nationalism
490,Romanian Christmas Carols sz. 57 series 1 part 9,Bela Bartok,2/4,Nationalism
491,Romanian Christmas Carols sz. 57 series 2 part 10,Bela Bartok,2/4,Nationalism
492,Romanian Christmas Carols sz. 57 series 2 part 1,Bela Bartok,2/4,Nationalism
493,Romanian Christmas Carols sz. 57 series 2 part 2,Bela Bartok,3/8,Nationalism
494,Romanian Christmas Carols sz. 57 series 2 part 3,Bela Bartok,3/4,Nationalism
495,Romanian Christmas Carols sz. 57 series 2 part 4,Bela Bartok,6/8,Nationalism
496,Romanian Christmas Carols sz. 57 series 2 part 5,Bela Bartok,2/4,Nationalism
497,Romanian Christmas Carols sz. 57 series 2 part 6,Bela Bartok,8/8,Nationalism
498,Romanian Christmas Carols sz. 57 series 2 part 7,Bela Bartok,2/4,Nationalism
499,Romanian Christmas Carols sz. 57 series 2 part 8,Bela Bartok,2/4,Nationalism
500,Romanian Christmas Carols sz. 57 series 2 part 9,Bela Bartok,7/8,Nationalism
501,Romanian Folk Dance sz. 56 part 1,Bela Bartok,2/4,Nationalism
502,Romanian Folk Dance sz. 56 part 2,Bela Bartok,2/4,Nationalism
503,Romanian Folk Dance sz. 56 part 3,Bela Bartok,2/4,Nationalism
504,Romanian Folk Dance sz. 56 part 4,Bela Bartok,3/4,Nationalism
505,Romanian Folk Dance sz. 56 part 5,Bela Bartok,2/4,Nationalism
506,Romanian Folk Dance sz. 56 part 6,Bela Bartok,2/4,Nationalism
507,Rondo on Slovak Folk Tunes sz. 84 part 1,Bela Bartok,2/4,Nationalism
508,Rondo on Slovak Folk Tunes sz. 84 part 2,Bela Bartok,2/4,Nationalism
509,Rondo on Slovak Folk Tunes sz. 84 part 3,Bela Bartok,2/4,Nationalism
510,Sonatina sz. 55 part 1,Bela Bartok,2/4,Nationalism
511,Sonatina sz. 55 part 2,Bela Bartok,2/4,Nationalism
512,Sonatina sz. 55 part 3,Bela Bartok,2/4,Nationalism
513,Studies for Piano op. 18 part 1,Bela Bartok,2/2,Nationalism
514,Studies for Piano op. 18 part 2,Bela Bartok,4/4,Nationalism
515,Studies for Piano op. 18 part 3,Bela Bartok,6/8,Nationalism
516,Suite for Piano op. 14 part 1,Bela Bartok,2/4,Nationalism
517,Suite for Piano op. 14 part 2,Bela Bartok,3/4,Nationalism
518,Suite for Piano op. 14 part 3,Bela Bartok,2/2,Nationalism
519,Suite for Piano op. 14 part 4,Bela Bartok,6/8,Nationalism
520,15 Moravian Folksongs part 10,Leos Janacek,2/4,Nationalism
521,15 Moravian Folksongs part 11,Leos Janacek,3/4,Nationalism
522,15 Moravian Folksongs part 12,Leos Janacek,2/4,Nationalism
523,15 Moravian Folksongs part 13,Leos Janacek,2/4,Nationalism
524,15 Moravian Folksongs part 14,Leos Janacek,2/4,Nationalism
525,15 Moravian Folksongs part 15,Leos Janacek,2/4,Nationalism
526,15 Moravian Folksongs part 1,Leos Janacek,2/4,Nationalism
527,15 Moravian Folksongs part 2,Leos Janacek,2/2,Nationalism
528,15 Moravian Folksongs part 3,Leos Janacek,2/4,Nationalism
529,15 Moravian Folksongs part 4,Leos Janacek,2/4,Nationalism
530,15 Moravian Folksongs part 5,Leos Janacek,3/4,Nationalism
531,15 Moravian Folksongs part 6,Leos Janacek,2/4,Nationalism
532,15 Moravian Folksongs part 7,Leos Janacek,2/4,Nationalism
533,15 Moravian Folksongs part 8,Leos Janacek,3/4,Nationalism
534,15 Moravian Folksongs part 9,Leos Janacek,2/4,Nationalism
535,In the Mists part 1,Leos Janacek,2/4,Nationalism
536,In the Mists part 2,Leos Janacek,2/8,Nationalism
537,In the Mists part 3,Leos Janacek,4/8,Nationalism
538,In the Mists part 4,Leos Janacek,5/4,Nationalism
539,Music for Club Swinging part 1,Leos Janacek,2/4,Nationalism
540,Music for Club Swinging part 2,Leos Janacek,2/4,Nationalism
541,Music for Club Swinging part 3,Leos Janacek,2/4,Nationalism
542,Music for Club Swinging part 4,Leos Janacek,2/4,Nationalism
543,Music for Club Swinging part 5,Leos Janacek,2/4,Nationalism
544,On the Overgrown Path part 10,Leos Janacek,2/4,Nationalism
545,On the Overgrown Path part 11,Leos Janacek,4/8,Nationalism
546,On the Overgrown Path part 12,Leos Janacek,3/8,Nationalism
547,On the Overgrown Path part 13,Leos Janacek,3/8,Nationalism
548,On the Overgrown Path part 14,Leos Janacek,2/4,Nationalism
549,On the Overgrown Path part 15,Leos Janacek,3/8,Nationalism
550,On the Overgrown Path part 1,Leos Janacek,2/8,Nationalism
551,On the Overgrown Path part 2,Leos Janacek,2/4,Nationalism
552,On the Overgrown Path part 3,Leos Janacek,1/8,Nationalism
553,On the Overgrown Path part 4,Leos Janacek,6/8,Nationalism
554,On the Overgrown Path part 5,Leos Janacek,4/8,Nationalism
555,On the Overgrown Path part 6,Leos Janacek,4/8,Nationalism
556,On the Overgrown Path part 7,Leos Janacek,4/8,Nationalism
557,On the Overgrown Path part 8,Leos Janacek,2/4,Nationalism
558,On the Overgrown Path part 9,Leos Janacek,2/4,Nationalism
559,The Diary of One Who Disappeared part 13,Leos Janacek,2/4,Nationalism
560,X.1905 part 1,Leos Janacek,6/8,Nationalism
561,X.1905 part 2,Leos Janacek,4/8,Nationalism
562,Zdenka Variations,Leos Janacek,2/4,Nationalism
563,Allegro de concierto,Manuel de Falla,4/4,Nationalism
564,Cancion,Manuel de Falla,3/8,Nationalism
565,Canto de los remeros del volga (12 bar only),Manuel de Falla,4/4,Nationalism
566,Cortejo de gnomos,Manuel de Falla,2/4,Nationalism
567,Fantasia Baetica,Manuel de Falla,3/4,Nationalism
568,Mazurka en do menur,Manuel de Falla,3/4,Nationalism
569,Nocturno,Manuel de Falla,3/8,Nationalism
570,Piezas Espanolas part 1,Manuel de Falla,3/8,Nationalism
571,Piezas Espanolas part 2,Manuel de Falla,3/4,Nationalism
572,Piezas Espanolas part 3,Manuel de Falla,3/4,Nationalism
573,Piezas Espanolas part 4,Manuel de Falla,3/4,Nationalism
574,Pour le tombeau de Paul Dukas,Manuel de Falla,4/4,Nationalism
575,Serenata Andaluza,Manuel de Falla,3/4,Nationalism
576,Vals Capricho,Manuel de Falla,3/4,Nationalism
577,Le tombeau de Couperin part 1,Maurice Ravel,12/16,Neoclassicism
578,Le tombeau de Couperin part 2,Maurice Ravel,4/4,Neoclassicism
579,Le tombeau de Couperin part 3,Maurice Ravel,6/8,Neoclassicism
580,Le tombeau de Couperin part 4,Maurice Ravel,2/4,Neoclassicism
581,Le tombeau de Couperin part 5,Maurice Ravel,3/4,Neoclassicism
582,Le tombeau de Couperin part 6,Maurice Ravel,2/4,Neoclassicism
583,Menuet Antique,Maurice Ravel,3/4,Neoclassicism
584,Pavane pour une infante defunte,Maurice Ravel,4/4,Neoclassicism
585,Sonatine part 1,Maurice Ravel,2/4,Neoclassicism
586,Sonatine part 2,Maurice Ravel,3/8,Neoclassicism
587,Sonatine part 3,Maurice Ravel,3/4,Neoclassicism
588,1922 part 1,Paul Hindemith,2/4,Neoclassicism
589,1922 part 2,Paul Hindemith,2/2,Neoclassicism
590,1922 part 3,Paul Hindemith,6/4,Neoclassicism
591,1922 part 4,Paul Hindemith,3/4,Neoclassicism
592,1922 part 5,Paul Hindemith,2/4,Neoclassicism
593,"In einer Nacht..., Op.15 part 10",Paul Hindemith,3/4,Neoclassicism
594,"In einer Nacht..., Op.15 part 11",Paul Hindemith,2/2,Neoclassicism
595,"In einer Nacht..., Op.15 part 12",Paul Hindemith,2/2,Neoclassicism
596,"In einer Nacht..., Op.15 part 13",Paul Hindemith,2/4,Neoclassicism
597,"In einer Nacht..., Op.15 part 14",Paul Hindemith,3/4,Neoclassicism
598,"In einer Nacht..., Op.15 part 1",Paul Hindemith,3/4,Neoclassicism
599,"In einer Nacht..., Op.15 part 2",Paul Hindemith,9/8,Neoclassicism
600,"In einer Nacht..., Op.15 part 3",Paul Hindemith,3/4,Neoclassicism
601,"In einer Nacht..., Op.15 part 4",Paul Hindemith,3/4,Neoclassicism
602,"In einer Nacht..., Op.15 part 5",Paul Hindemith,3/4,Neoclassicism
603,"In einer Nacht..., Op.15 part 6",Paul Hindemith,4/4,Neoclassicism
604,"In einer Nacht..., Op.15 part 7",Paul Hindemith,3/4,Neoclassicism
605,"In einer Nacht..., Op.15 part 8",Paul Hindemith,1,Neoclassicism
606,"In einer Nacht..., Op.15 part 9",Paul Hindemith,3/4,Neoclassicism
607,Klaviermusik op. 37 Erster Teil part 1,Paul Hindemith,2/4,Neoclassicism
608,Klaviermusik op. 37 Erster Teil part 2,Paul Hindemith,4/4,Neoclassicism
609,Klaviermusik op. 37 Erster Teil part 3,Paul Hindemith,2/2,Neoclassicism
610,Klaviermusik op. 37 Zweiter Teil part 10,Paul Hindemith,6/4,Neoclassicism
611,Klaviermusik op. 37 Zweiter Teil part 11,Paul Hindemith,8/8,Neoclassicism
612,Klaviermusik op. 37 Zweiter Teil part 12,Paul Hindemith,4/4,Neoclassicism
613,Klaviermusik op. 37 Zweiter Teil part 13,Paul Hindemith,2/4,Neoclassicism
614,Klaviermusik op. 37 Zweiter Teil part 1,Paul Hindemith,3/2,Neoclassicism
615,Klaviermusik op. 37 Zweiter Teil part 2,Paul Hindemith,3/4,Neoclassicism
616,Klaviermusik op. 37 Zweiter Teil part 3,Paul Hindemith,3/8,Neoclassicism
617,Klaviermusik op. 37 Zweiter Teil part 4,Paul Hindemith,3/4,Neoclassicism
618,Klaviermusik op. 37 Zweiter Teil part 5,Paul Hindemith,9/8,Neoclassicism
619,Klaviermusik op. 37 Zweiter Teil part 6,Paul Hindemith,2/4,Neoclassicism
620,Klaviermusik op. 37 Zweiter Teil part 7,Paul Hindemith,3/2,Neoclassicism
621,Klaviermusik op. 37 Zweiter Teil part 8,Paul Hindemith,8/8,Neoclassicism
622,Klaviermusik op. 37 Zweiter Teil part 9,Paul Hindemith,9/16,Neoclassicism
623,Ludus Tonalis part 10,Paul Hindemith,6/8,Neoclassicism
624,Ludus Tonalis part 11,Paul Hindemith,3/4,Neoclassicism
625,Ludus Tonalis part 12,Paul Hindemith,4/8,Neoclassicism
626,Ludus Tonalis part 13,Paul Hindemith,2/2,Neoclassicism
627,Ludus Tonalis part 14,Paul Hindemith,3/4,Neoclassicism
628,Ludus Tonalis part 15,Paul Hindemith,8/8,Neoclassicism
629,Ludus Tonalis part 16,Paul Hindemith,4/4,Neoclassicism
630,Ludus Tonalis part 17,Paul Hindemith,12/8,Neoclassicism
631,Ludus Tonalis part 18,Paul Hindemith,2/4,Neoclassicism
632,Ludus Tonalis part 19,Paul Hindemith,3/4,Neoclassicism
633,Ludus Tonalis part 1,Paul Hindemith,4/4,Neoclassicism
634,Ludus Tonalis part 20,Paul Hindemith,4/4,Neoclassicism
635,Ludus Tonalis part 21,Paul Hindemith,3/2,Neoclassicism
636,Ludus Tonalis part 22,Paul Hindemith,4/2,Neoclassicism
637,Ludus Tonalis part 23,Paul Hindemith,3/8,Neoclassicism
638,Ludus Tonalis part 24,Paul Hindemith,9/8,Neoclassicism
639,Ludus Tonalis part 25,Paul Hindemith,15/8,Neoclassicism
640,Ludus Tonalis part 2,Paul Hindemith,4/4,Neoclassicism
641,Ludus Tonalis part 3,Paul Hindemith,3/4,Neoclassicism
642,Ludus Tonalis part 4,Paul Hindemith,5/8,Neoclassicism
643,Ludus Tonalis part 5,Paul Hindemith,6/8,Neoclassicism
644,Ludus Tonalis part 6,Paul Hindemith,4/4,Neoclassicism
645,Ludus Tonalis part 7,Paul Hindemith,2/4,Neoclassicism
646,Ludus Tonalis part 8,Paul Hindemith,3/2,Neoclassicism
647,Ludus Tonalis part 9,Paul Hindemith,4/4,Neoclassicism
648,Piano sonata no. 1 part 1,Paul Hindemith,4/4,Neoclassicism
649,Piano sonata no. 1 part 2,Paul Hindemith,4/4,Neoclassicism
650,Piano sonata no. 1 part 3,Paul Hindemith,3/4,Neoclassicism
651,Piano sonata no. 1 part 4,Paul Hindemith,4/4,Neoclassicism
652,Piano sonata no. 1 part 5,Paul Hindemith,3/1,Neoclassicism
653,Piano sonata no. 2 part 1,Paul Hindemith,2/4,Neoclassicism
654,Piano sonata no. 2 part 2,Paul Hindemith,3/4,Neoclassicism
655,Piano sonata no. 2 part 3,Paul Hindemith,6/8,Neoclassicism
656,Piano sonata no. 3 part 1,Paul Hindemith,6/8,Neoclassicism
657,Piano sonata no. 3 part 2,Paul Hindemith,2/2,Neoclassicism
658,Piano sonata no. 3 part 3,Paul Hindemith,2/4,Neoclassicism
659,Piano sonata no. 3 part 4,Paul Hindemith,3/2,Neoclassicism
660,Piano sonata op. 17 part 1,Paul Hindemith,4/4,Neoclassicism
661,Piano sonata op. 17 part 2,Paul Hindemith,3/4,Neoclassicism
662,Piano sonata op. 17 part 3,Paul Hindemith,2/2,Neoclassicism
663,"Tanzstücke, Op.19 part 1",Paul Hindemith,2/2,Neoclassicism
664,"Tanzstücke, Op.19 part 2",Paul Hindemith,6/4,Neoclassicism
665,"Tanzstücke, Op.19 part 3",Paul Hindemith,2/4,Neoclassicism
666,"Tanzstücke, Op.19 part 4",Paul Hindemith,2/2,Neoclassicism
667,"Tanzstücke, Op.19 part 5",Paul Hindemith,2/4,Neoclassicism
668,Wir bauen eine statdt part 1,Paul Hindemith,4/4,Neoclassicism
669,Wir bauen eine statdt part 2,Paul Hindemith,4/4,Neoclassicism
670,Wir bauen eine statdt part 3,Paul Hindemith,6/8,Neoclassicism
671,Wir bauen eine statdt part 4,Paul Hindemith,2/4,Neoclassicism
672,Wir bauen eine statdt part 5,Paul Hindemith,3/4,Neoclassicism
673,Wir bauen eine statdt part 6,Paul Hindemith,2/4,Neoclassicism
674,Kleiner Walzer in G Major,Alban Berg,3/4,Serialism
675,Piano Sonata Op. 1,Alban Berg,3/4,Serialism
676,Kinderstuck,Anton Webern,3/4,Serialism
677,Klavierstuck,Anton Webern,3/4,Serialism
678,Variations for Piano Op 27 Part 1,Anton Webern,3/16,Serialism
679,Variations for Piano Op 27 part 2,,,Serialism
680,Variations for Piano Op 27 part 3,Anton Webern,3/2,Serialism
681,"6 Kleine Klavierstucke, Op. 19 Part 1",Arnold Schoenberg,6/8,Serialism
682,"6 Kleine Klavierstucke, Op. 19 Part 2",Arnold Schoenberg,4/4,Serialism
683,"6 Kleine Klavierstucke, Op. 19 Part 3",Arnold Schoenberg,4/4,Serialism
684,"6 Kleine Klavierstucke, Op. 19 Part 4",Arnold Schoenberg,2/4,Serialism
685,"6 Kleine Klavierstucke, Op. 19 Part 5",Arnold Schoenberg,3/8,Serialism
686,"6 Kleine Klavierstucke, Op. 19 part 6",Arnold Schoenberg,4/4,Serialism
687,Drei Klavierstucke Op. 11 part 1,Arnold Schoenberg,3/4,Serialism
688,Drei Klavierstucke Op. 11 part 2,Arnold Schoenberg,12/8,Serialism
689,Drei Klavierstucke Op. 11 part 3,Arnold Schoenberg,6/8,Serialism
690,"Five Piano Pieces, Op 23 part 1",Arnold Schoenberg,4/8,Serialism
691,"Five Piano Pieces, Op. 23 part 2",Arnold Schoenberg,3/4,Serialism
692,"Five Piano Pieces, Op. 23 Part 3",Arnold Schoenberg,3/4,Serialism
693,"Five Piano Pieces, Op. 23 part 4",Arnold Schoenberg,4/4,Serialism
694,"Five Piano Pieces, Op. 23 Part 5",Arnold Schoenberg,3/8,Serialism
695,"Klavierstucke, Op 33a",Arnold Schoenberg,4/4,Serialism
696,"Klavierstucke, Op 33b",Arnold Schoenberg,2/4,Serialism
697,"Suite fur Klavier, Op. 25 Part 1",Arnold Schoenberg,6/8,Serialism
698,"Suite fur Klavier, Op. 25 Part 2",Arnold Schoenberg,2/2,Serialism
699,"Suite fur Klavier, Op. 25 Part 3",Arnold Schoenberg,2/2,Serialism
700,"Suite fur Klavier, Op. 25 Part 4",Arnold Schoenberg,3/4,Serialism
701,"Suite fur Klavier, Op. 25 Part 5",Arnold Schoenberg,3/4,Serialism
702,"Suite fur Klavier, Op. 25 Part 6",Arnold Schoenberg,2/2,Serialism
703,"4 Klavierstucke, Op. 3 Part 1",Hanns Eisler,4/8,Serialism
704,"4 Klavierstucke, Op. 3 Part 2",Hanns Eisler,2/4,Serialism
705,"4 Klavierstucke, Op. 3 Part 3",Hanns Eisler,3/4,Serialism
706,"4 Klavierstucke, Op. 3 Part 4",Hanns Eisler,2/4,Serialism
707,8 Klavierstucke Op. 8 Part 1,Hanns Eisler,2/4,Serialism
708,8 Klavierstucke Op. 8 Part 2,Hanns Eisler,2/2,Serialism
709,8 Klavierstucke Op. 8 Part 3,Hanns Eisler,3/4,Serialism
710,8 Klavierstucke Op. 8 Part 4,Hanns Eisler,2/4,Serialism
711,8 Klavierstucke Op. 8 Part 5,Hanns Eisler,2/2,Serialism
712,8 Klavierstucke Op. 8 Part 6,Hanns Eisler,5/4,Serialism
713,8 Klavierstucke Op. 8 Part 7,Hanns Eisler,3/4,Serialism
714,8 Klavierstucke Op. 8 Part 8,Hanns Eisler,2/2,Serialism
715,Piano Sonata No. 2 Op 6,Hanns Eisler,4/8,Serialism
716,Piano Sonata no. 3 part 1,Hanns Eisler,4/4,Serialism
717,Piano Sonata no. 3 part 2,Hanns Eisler,5/4,Serialism
718,Piano Sonata no. 3 part 3,Hanns Eisler,4/4,Serialism
719,Piano Sonata No.1 Op 1 Part 1,Hanns Eisler,2/4,Serialism
720,Piano Sonata No.1 Op 1 Part 2,Hanns Eisler,2/2,Serialism
721,Piano Sonata No.1 Op 1 Part 3,Hanns Eisler,2/4,Serialism
